Enter name of dump file: f got: fs, but expected |?
landesite got: landesites, but expected |?
landauite got: landauites, but expected |?
kribergite got: kribergites, but expected |?
kristiansenite got: kristiansenites, but expected |?
koenenite got: koenenites, but expected |?
kawazulite got: kawazulites, but expected |?
kieftite got: kieftites, but expected |?
iwakiite got: iwakiites, but expected |?
keckite got: keckites, but expected |?
kashinite got: kashinites, but expected |?
laueite got: laueites, but expected |?
kegelite got: kegelites, but expected |?
kazakhstanite got: kazakhstanites, but expected |?
jeppeite got: jeppeites, but expected |?
kornite got: kornites, but expected |?
laurionite got: laurionites, but expected |?
laurelite got: laurelites, but expected |?
lawsonbauerite got: lawsonbauerites, but expected |?
makovickyite got: makovickyites, but expected |?
lazarenkoite got: lazarenkoites, but expected |?
liebauite got: liebauites, but expected |?
lavrentievite got: lavrentievites, but expected |?
lawrencite got: lawrencites, but expected |?
mallestigite got: mallestigites, but expected |?
liebenbergite got: liebenbergites, but expected |?
lourenswalsite got: lourenswalsites, but expected |?
manganbabingtonite got: manganbabingtonites, but expected |?
manganbelyankinite got: manganbelyankinites, but expected |?
magnesiodumortierite got: magnesiodumortierites, but expected |?
magnesiokatophorite got: magnesiokatophorites, but expected |?
magnesiosadanagaite got: magnesiosadanagaites, but expected |?
magnesiostaurolite got: magnesiostaurolites, but expected |?
mcconnellite got: mcconnellites, but expected |?
mcgillite got: mcgillites, but expected |?
mcguinnessite got: mcguinnessites, but expected |?
mckinstryite got: mckinstryites, but expected |?
mcgovernite got: mcgovernites, but expected |?
mcnearite got: mcnearites, but expected |?
mcauslanite got: mcauslanites, but expected |?
mcalpineite got: mcalpineites, but expected |?
mcallisterite got: mcallisterites, but expected |?
mathewrogersite got: mathewrogersites, but expected |?
metavandendriesscheite got: metavandendriesscheites, but expected |?
metavanmeersscheite got: metavanmeersscheites, but expected |?
metatyuyamunite got: metatyuyamunites, but expected |?
mpororoite got: mpororoites, but expected |?
nickellotharmeyerite got: nickellotharmeyerites, but expected |?
paracoquimbite got: paracoquimbites, but expected |?
pararammelsbergite got: pararammelsbergites, but expected |?
penfieldite got: penfieldites, but expected |?
penkvilksite got: penkvilksites, but expected |?
orthominasragrite got: orthominasragrites, but expected |?
phaunouxite got: phaunouxites, but expected |?
piypite got: piypites, but expected |?
potassicsadanagaite got: potassicsadanagaites, but expected |?
poldervaartite got: poldervaartites, but expected |?
petscheckite got: petscheckites, but expected |?
phosphoellenbergerite got: phosphoellenbergerites, but expected |?
potassicpargasite got: potassicpargasites, but expected |?
potassicleakeite got: potassicleakeites, but expected |?
parasibirskite got: parasibirskites, but expected |?
parabariomicrolite got: parabariomicrolites, but expected |?
proudite got: proudites, but expected |?
parasymplesite got: parasymplesites, but expected |?
penobsquisite got: penobsquisites, but expected |?
pellyite got: pellyites, but expected |?
pyroxmangite got: pyroxmangites, but expected |?
radhakrishnaite got: radhakrishnaites, but expected |?
phosphovanadylite got: phosphovanadylites, but expected |?
preobrazhenskite got: preobrazhenskites, but expected |?
phosphowalpurgite got: phosphowalpurgites, but expected |?
sphaerobertrandite got: sphaerobertrandites, but expected |?
thorbastnasite got: thorbastnasites, but expected |?
thoreaulite got: thoreaulites, but expected |?
veszelyite got: veszelyites, but expected |?
tischendorfite got: tischendorfites, but expected |?
swedenborgite got: swedenborgites, but expected |?
sweetite got: sweetites, but expected |?
thorosteenstrupine got: thorosteenstrupines, but expected |?
voggite got: voggites, but expected |?
vigezzite got: vigezzites, but expected |?
svyazhinite got: svyazhinites, but expected |?
tsugaruite got: tsugaruites, but expected |?
villamaninite got: villamaninites, but expected |?
sveite got: sveites, but expected |?
svyatoslavite got: svyatoslavites, but expected |?
sverigeite got: sverigeites, but expected |?
svabite got: svabites, but expected |?
susannite got: susannites, but expected |?
suzukiite got: suzukiites, but expected |?
vonbezingite got: vonbezingites, but expected |?
watkinsonite got: watkinsonites, but expected |?
vysotskite got: vysotskites, but expected |?
vyalsovite got: vyalsovites, but expected |?
vuorelainenite got: vuorelainenites, but expected |?
tetraferroplatinum got: tetraferroplatinums, but expected |?
tertschite got: tertschites, but expected |?
synadelphite got: synadelphites, but expected |?
wallisite got: wallisites, but expected |?
strontiojoaquinite got: strontiojoaquinites, but expected |?
djerfisherite got: djerfisherites, but expected |?
akrochordite got: akrochordites, but expected |?
aktashite got: aktashites, but expected |?
alacranite got: alacranites, but expected |?
albrechtschraufite got: albrechtschraufites, but expected |?
aldermanite got: aldermanites, but expected |?
bobfergusonite got: bobfergusonites, but expected |?
allargentum got: allargentums, but expected |?
allactite got: allactites, but expected |?
allabogdanite got: allabogdanites, but expected |?
aleksite got: aleksites, but expected |?
panunzite got: panunzites, but expected |?
leadamalgam got: leadamalgams, but expected |?
jarlite got: jarlites, but expected |?
jasmundite got: jasmundites, but expected |?
suanite got: suanites, but expected |?
panasqueiraite got: panasqueiraites, but expected |?
strunzite got: strunzites, but expected |?
surite got: surites, but expected |?
alumopharmacosiderite got: alumopharmacosiderites, but expected |?
roselite got: roselites, but expected |?
reidite got: reidites, but expected |?
raite got: raites, but expected |?
paxite got: paxites, but expected |?
pekoite got: pekoites, but expected |?
nealite got: nealites, but expected |?
nickelschneebergite got: nickelschneebergites, but expected |?
neyite got: neyites, but expected |?
mundite got: mundites, but expected |?
iridarsenite got: iridarsenites, but expected |?
isoferroplatinum got: isoferroplatinums, but expected |?
ferrokentbrooksite got: ferrokentbrooksites, but expected |?
manganokhomyakovite got: manganokhomyakovites, but expected |?
paraguanajuatite got: paraguanajuatites, but expected |?
atokite got: atokites, but expected |?
alumoklyuchevskite got: alumoklyuchevskites, but expected |?
althupite got: althupites, but expected |?
amakinite got: amakinites, but expected |?
alvanite got: alvanites, but expected |?
alumotungstite got: alumotungstites, but expected |?
ammonioalunite got: ammonioalunites, but expected |?
arsenbrackebuschite got: arsenbrackebuschites, but expected |?
arsenohauchecornite got: arsenohauchecornites, but expected |?
babefphite got: babefphites, but expected |?
ammoniojarosite got: ammoniojarosites, but expected |?
almarudite got: almarudites, but expected |?
aplowite got: aplowites, but expected |?
anyuiite got: anyuiites, but expected |?
argentopentlandite got: argentopentlandites, but expected |?
antimonpearceite got: antimonpearceites, but expected |?
antarcticite got: antarcticites, but expected |?
ansermetite got: ansermetites, but expected |?
asbolane got: asbolanes, but expected |?
aschamalmite got: aschamalmites, but expected |?
ammonioborite got: ammonioborites, but expected |?
andremeyerite got: andremeyerites, but expected |?
wupatkiite got: wupatkiites, but expected |?
wilhelmkleinite got: wilhelmkleinites, but expected |?
trechmannite got: trechmannites, but expected |?
ungarettiite got: ungarettiites, but expected |?
uralborite got: uralborites, but expected |?
trippkeite got: trippkeites, but expected |?
tulameenite got: tulameenites, but expected |?
tumchaite got: tumchaites, but expected |?
turtmannite got: turtmannites, but expected |?
twinnite got: twinnites, but expected |?
tungusite got: tungusites, but expected |?
uranmicrolite got: uranmicrolites, but expected |?
trembathite got: trembathites, but expected |?
tripuhyite got: tripuhyites, but expected |?
vanadomalayaite got: vanadomalayaites, but expected |?
valleriite got: valleriites, but expected |?
uzonite got: uzonites, but expected |?
urvantsevite got: urvantsevites, but expected |?
vanadiocarpholite got: vanadiocarpholites, but expected |?
vanadiumdravite got: vanadiumdravites, but expected |?
uvite got: uvites, but expected |?
verplanckite got: verplanckites, but expected |?
wegscheiderite got: wegscheiderites, but expected |?
weeksite got: weeksites, but expected |?
volkovskite got: volkovskites, but expected |?
volkonskoite got: volkonskoites, but expected |?
vonsenite got: vonsenites, but expected |?
vajdakite got: vajdakites, but expected |?
viaeneite got: viaeneites, but expected |?
vuonnemite got: vuonnemites, but expected |?
wairakite got: wairakites, but expected |?
wairauite got: wairauites, but expected |?
vuagnatite got: vuagnatites, but expected |?
walthierite got: walthierites, but expected |?
verbeekite got: verbeekites, but expected |?
vihorlatite got: vihorlatites, but expected |?
vinciennite got: vinciennites, but expected |?
wardsmithite got: wardsmithites, but expected |?
walentaite got: walentaites, but expected |?
wadeite got: wadeites, but expected |?
warikahnite got: warikahnites, but expected |?
wawayandaite got: wawayandaites, but expected |?
weberite got: weberites, but expected |?
weinebeneite got: weinebeneites, but expected |?
walstromite got: walstromites, but expected |?
weissbergite got: weissbergites, but expected |?
wendwilsonite got: wendwilsonites, but expected |?
usovite got: usovites, but expected |?
ustarasite got: ustarasites, but expected |?
varennesite got: varennesites, but expected |?
vashegyite got: vashegyites, but expected |?
wermlandite got: wermlandites, but expected |?
watanabeite got: watanabeites, but expected |?
watatsumiite got: watatsumiites, but expected |?
wherryite got: wherryites, but expected |?
whitmoreite got: whitmoreites, but expected |?
wickmanite got: wickmanites, but expected |?
wenkite got: wenkites, but expected |?
willhendersonite got: willhendersonites, but expected |?
winchite got: winchites, but expected |?
wiserite got: wiserites, but expected |?
widenmannite got: widenmannites, but expected |?
wooldridgeite got: wooldridgeites, but expected |?
woodruffite got: woodruffites, but expected |?
woodhouseite got: woodhouseites, but expected |?
wonesite got: wonesites, but expected |?
wolfeite got: wolfeites, but expected |?
wightmanite got: wightmanites, but expected |?
winstanleyite got: winstanleyites, but expected |?
wittite got: wittites, but expected |?
wittichenite got: wittichenites, but expected |?
weibullite got: weibullites, but expected |?
willyamite got: willyamites, but expected |?
wilkmanite got: wilkmanites, but expected |?
wattersite got: wattersites, but expected |?
weishanite got: weishanites, but expected |?
werdingite got: werdingites, but expected |?
wesselsite got: wesselsites, but expected |?
uranospathite got: uranospathites, but expected |?
uramphite got: uramphites, but expected |?
urusovite got: urusovites, but expected |?
uranocircite got: uranocircites, but expected |?
stumpflite got: stumpflites, but expected |?
sudovikovite got: sudovikovites, but expected |?
sturmanite got: sturmanites, but expected |?
sudburyite got: sudburyites, but expected |?
sudoite got: sudoites, but expected |?
studenitsite got: studenitsites, but expected |?
strontiochevkinite got: strontiochevkinites, but expected |?
strontiodresserite got: strontiodresserites, but expected |?
strontioginorite got: strontioginorites, but expected |?
strontioborite got: strontioborites, but expected |?
strontiomelane got: strontiomelanes, but expected |?
theoparacelsite got: theoparacelsites, but expected |?
sursassite got: sursassites, but expected |?
swaknoite got: swaknoites, but expected |?
surinamite got: surinamites, but expected |?
sulphotsumoite got: sulphotsumoites, but expected |?
symesite got: symesites, but expected |?
tlalocite got: tlalocites, but expected |?
tlapallite got: tlapallites, but expected |?
tyrrellite got: tyrrellites, but expected |?
tychite got: tychites, but expected |?
takeuchiite got: takeuchiites, but expected |?
tikhonenkovite got: tikhonenkovites, but expected |?
teschemacherite got: teschemacherites, but expected |?
barytolamprophyllite got: barytolamprophyllites, but expected |?
alumohydrocalcite got: alumohydrocalcites, but expected |?
basaluminite got: basaluminites, but expected |?
kuzminite got: kuzminites, but expected |?
kuzelite got: kuzelites, but expected |?
lacroixite got: lacroixites, but expected |?
lishizhenite got: lishizhenites, but expected |?
lanmuchangite got: lanmuchangites, but expected |?
langite got: langites, but expected |?
kurumsakite got: kurumsakites, but expected |?
kusachiite got: kusachiites, but expected |?
kukisvumite got: kukisvumites, but expected |?
krettnichite got: krettnichites, but expected |?
kullerudite got: kullerudites, but expected |?
macquartite got: macquartites, but expected |?
kurgantaite got: kurgantaites, but expected |?
kuramite got: kuramites, but expected |?
lindqvistite got: lindqvistites, but expected |?
krupkaite got: krupkaites, but expected |?
larderellite got: larderellites, but expected |?
kittatinnyite got: kittatinnyites, but expected |?
kitkaite got: kitkaites, but expected |?
kirkiite got: kirkiites, but expected |?
kladnoite got: kladnoites, but expected |?
kleemanite got: kleemanites, but expected |?
klebelsbergite got: klebelsbergites, but expected |?
kleinite got: kleinites, but expected |?
kipushite got: kipushites, but expected |?
koktaite got: koktaites, but expected |?
koashvite got: koashvites, but expected |?
kingsmountite got: kingsmountites, but expected |?
kolfanite got: kolfanites, but expected |?
korshunovskite got: korshunovskites, but expected |?
kosmochlor got: kosmochlors, but expected |?
kolwezite got: kolwezites, but expected |?
korobitsynite got: korobitsynites, but expected |?
ludjibaite got: ludjibaites, but expected |?
krauskopfite got: krauskopfites, but expected |?
franklinfurnaceite got: franklinfurnaceites, but expected |?
frankdicksonite got: frankdicksonites, but expected |?
franklinphilite got: franklinphilites, but expected |?
fuenzalidaite got: fuenzalidaites, but expected |?
furutobeite got: furutobeites, but expected |?
freedite got: freedites, but expected |?
friedrichite got: friedrichites, but expected |?
frolovite got: frolovites, but expected |?
galenobismutite got: galenobismutites, but expected |?
galileiite got: galileiites, but expected |?
gallobeudantite got: gallobeudantites, but expected |?
gananite got: gananites, but expected |?
geikielite got: geikielites, but expected |?
geminite got: geminites, but expected |?
greifensteinite got: greifensteinites, but expected |?
gaidonnayite got: gaidonnayites, but expected |?
gainesite got: gainesites, but expected |?
gruzdevite got: gruzdevites, but expected |?
guanajuatite got: guanajuatites, but expected |?
grumiplucite got: grumiplucites, but expected |?
gaotaiite got: gaotaiites, but expected |?
gowerite got: gowerites, but expected |?
goyazite got: goyazites, but expected |?
gabrielsonite got: gabrielsonites, but expected |?
gageite got: gageites, but expected |?
frohbergite got: frohbergites, but expected |?
furongite got: furongites, but expected |?
goudeyite got: goudeyites, but expected |?
gottlobite got: gottlobites, but expected |?
gottardiite got: gottardiites, but expected |?
gatehouseite got: gatehouseites, but expected |?
gamagarite got: gamagarites, but expected |?
frondelite got: frondelites, but expected |?
giorgiosite got: giorgiosites, but expected |?
grechishchevite got: grechishchevites, but expected |?
grattarolaite got: grattarolaites, but expected |?
foggite got: foggites, but expected |?
foitite got: foitites, but expected |?
foordite got: foordites, but expected |?
fontanite got: fontanites, but expected |?
filipstadite got: filipstadites, but expected |?
fischesserite got: fischesserites, but expected |?
flagstaffite got: flagstaffites, but expected |?
fibroferrite got: fibroferrites, but expected |?
fluckite got: fluckites, but expected |?
erniggliite got: erniggliites, but expected |?
erdite got: erdites, but expected |?
erlichmanite got: erlichmanites, but expected |?
ernienickelite got: ernienickelites, but expected |?
ertixiite got: ertixiites, but expected |?
emeleusite got: emeleusites, but expected |?
ericaite got: ericaites, but expected |?
eskimoite got: eskimoites, but expected |?
erythrosiderite got: erythrosiderites, but expected |?
esperanzaite got: esperanzaites, but expected |?
esseneite got: esseneites, but expected |?
englishite got: englishites, but expected |?
emmonsite got: emmonsites, but expected |?
emilite got: emilites, but expected |?
embreyite got: embreyites, but expected |?
endellite got: endellites, but expected |?
eveite got: eveites, but expected |?
eveslogite got: eveslogites, but expected |?
falcondoite got: falcondoites, but expected |?
famatinite got: famatinites, but expected |?
fangite got: fangites, but expected |?
farringtonite got: farringtonites, but expected |?
faustite got: faustites, but expected |?
ferronickelplatinum got: ferronickelplatinums, but expected |?
ezcurrite got: ezcurrites, but expected |?
eztlite got: eztlites, but expected |?
feklichevite got: feklichevites, but expected |?
felbertalite got: felbertalites, but expected |?
fettelite got: fettelites, but expected |?
fetiasite got: fetiasites, but expected |?
dadsonite got: dadsonites, but expected |?
cuzticite got: cuzticites, but expected |?
cyrilovite got: cyrilovites, but expected |?
cupromakovickyite got: cupromakovickyites, but expected |?
davyne got: davynes, but expected |?
davreuxite got: davreuxites, but expected |?
danielsite got: danielsites, but expected |?
dalyite got: dalyites, but expected |?
daomanite got: daomanites, but expected |?
dashkovaite got: dashkovaites, but expected |?
davanite got: davanites, but expected |?
despujolsite got: despujolsites, but expected |?
deerite got: deerites, but expected |?
defernite got: defernites, but expected |?
damiaoite got: damiaoites, but expected |?
demesmaekerite got: demesmaekerites, but expected |?
dewindtite got: dewindtites, but expected |?
diaoyudaoite got: diaoyudaoites, but expected |?
desautelsite got: desautelsites, but expected |?
dessauite got: dessauites, but expected |?
cumengite got: cumengites, but expected |?
coyoteite got: coyoteites, but expected |?
cowlesite got: cowlesites, but expected |?
cualstibite got: cualstibites, but expected |?
cronusite got: cronusites, but expected |?
coquandite got: coquandites, but expected |?
coparsite got: coparsites, but expected |?
colquiriite got: colquiriites, but expected |?
colusite got: colusites, but expected |?
compreignacite got: compreignacites, but expected |?
cookeite got: cookeites, but expected |?
coombsite got: coombsites, but expected |?
cobalttsumcorite got: cobalttsumcorites, but expected |?
cobaltlotharmeyerite got: cobaltlotharmeyerites, but expected |?
corkite got: corkites, but expected |?
congolite got: congolites, but expected |?
dozyite got: dozyites, but expected |?
downeyite got: downeyites, but expected |?
doyleite got: doyleites, but expected |?
dravite got: dravites, but expected |?
dixenite got: dixenites, but expected |?
drugmanite got: drugmanites, but expected |?
dresserite got: dresserites, but expected |?
dittmarite got: dittmarites, but expected |?
diomignite got: diomignites, but expected |?
dolerophanite got: dolerophanites, but expected |?
dinite got: dinites, but expected |?
deanesmithite got: deanesmithites, but expected |?
dwornikite got: dwornikites, but expected |?
dzharkenite got: dzharkenites, but expected |?
dzhalindite got: dzhalindites, but expected |?
clinojimthompsonite got: clinojimthompsonites, but expected |?
chvilevaite got: chvilevaites, but expected |?
cejkaite got: cejkaites, but expected |?
bohdanowiczite got: bohdanowiczites, but expected |?
bezsmertnovite got: bezsmertnovites, but expected |?
azoproite got: azoproites, but expected |?
argentotennantite got: argentotennantites, but expected |?
alluaivite got: alluaivites, but expected |?
amesite got: amesites, but expected |?
batisite got: batisites, but expected |?
amarantite got: amarantites, but expected |?
alleghanyite got: alleghanyites, but expected |?
alumotantite got: alumotantites, but expected |?
angelellite got: angelellites, but expected |?
angelaite got: angelaites, but expected |?
arakiite got: arakiites, but expected |?
arsendescloizite got: arsendescloizites, but expected |?
bazhenovite got: bazhenovites, but expected |?
blixite got: blixites, but expected |?
boussingaultite got: boussingaultites, but expected |?
brabantite got: brabantites, but expected |?
bikitaite got: bikitaites, but expected |?
bigcreekite got: bigcreekites, but expected |?
bieberite got: bieberites, but expected |?
bassetite got: bassetites, but expected |?
batiferrite got: batiferrites, but expected |?
becquerelite got: becquerelites, but expected |?
bederite got: bederites, but expected |?
biringuccite got: biringuccites, but expected |?
biphosphammite got: biphosphammites, but expected |?
bindheimite got: bindheimites, but expected |?
boothite got: boothites, but expected |?
behierite got: behierites, but expected |?
bementite got: bementites, but expected |?
bokite got: bokites, but expected |?
beidellite got: beidellites, but expected |?
belendorffite got: belendorffites, but expected |?
bechererite got: bechererites, but expected |?
bearthite got: bearthites, but expected |?
boggsite got: boggsites, but expected |?
bonshtedtite got: bonshtedtites, but expected |?
brodtkorbite got: brodtkorbites, but expected |?
bultfonteinite got: bultfonteinites, but expected |?
coconinoite got: coconinoites, but expected |?
devilline got: devillines, but expected |?
ferrokaersutite got: ferrokaersutites, but expected |?
ferrotitanowodginite got: ferrotitanowodginites, but expected |?
eifelite got: eifelites, but expected |?
ehrleite got: ehrleites, but expected |?
eitelite got: eitelites, but expected |?
ellenbergerite got: ellenbergerites, but expected |?
eylettersite got: eylettersites, but expected |?
eyselite got: eyselites, but expected |?
edoylerite got: edoylerites, but expected |?
gaitite got: gaitites, but expected |?
effenbergerite got: effenbergerites, but expected |?
edenharterite got: edenharterites, but expected |?
ekaterinite got: ekaterinites, but expected |?
ekatite got: ekatites, but expected |?
ewaldite got: ewaldites, but expected |?
fingerite got: fingerites, but expected |?
hejtmanite got: hejtmanites, but expected |?
gearksutite got: gearksutites, but expected |?
gerasimovskite got: gerasimovskites, but expected |?
hexatestibiopanickelite got: hexatestibiopanickelites, but expected |?
hewettite got: hewettites, but expected |?
giuseppettite got: giuseppettites, but expected |?
haycockite got: haycockites, but expected |?
hsianghualite got: hsianghualites, but expected |?
hydrombobomkulite got: hydrombobomkulites, but expected |?
hydroxylclinohumite got: hydroxylclinohumites, but expected |?
helmutwinklerite got: helmutwinklerites, but expected |?
howardevansite got: howardevansites, but expected |?
hechtsbergite got: hechtsbergites, but expected |?
hawthorneite got: hawthorneites, but expected |?
henritermierite got: henritermierites, but expected |?
henryite got: henryites, but expected |?
henrymeyerite got: henrymeyerites, but expected |?
herzenbergite got: herzenbergites, but expected |?
hydrowoodwardite got: hydrowoodwardites, but expected |?
hematophanite got: hematophanites, but expected |?
heliophyllite got: heliophyllites, but expected |?
inesite got: inesites, but expected |?
hungchaoite got: hungchaoites, but expected |?
itoigawaite got: itoigawaites, but expected |?
ianthinite got: ianthinites, but expected |?
imandrite got: imandrites, but expected |?
imgreite got: imgreites, but expected |?
itoite got: itoites, but expected |?
isovite got: isovites, but expected |?
isokite got: isokites, but expected |?
khamrabaevite got: khamrabaevites, but expected |?
khaidarkanite got: khaidarkanites, but expected |?
kharaelakhite got: kharaelakhites, but expected |?
khibinskite got: khibinskites, but expected |?
khomyakovite got: khomyakovites, but expected |?
isocubanite got: isocubanites, but expected |?
hydroxylherderite got: hydroxylherderites, but expected |?
jeanbandyite got: jeanbandyites, but expected |?
nickelhexahydrite got: nickelhexahydrites, but expected |?
mooihoekite got: mooihoekites, but expected |?
morozeviczite got: morozeviczites, but expected |?
niggliite got: niggliites, but expected |?
nifontovite got: nifontovites, but expected |?
nikischerite got: nikischerites, but expected |?
ningyoite got: ningyoites, but expected |?
nimite got: nimites, but expected |?
nakauriite got: nakauriites, but expected |?
nahpoite got: nahpoites, but expected |?
muskoxite got: muskoxites, but expected |?
museumite got: museumites, but expected |?
natanite got: natanites, but expected |?
navajoite got: navajoites, but expected |?
newberyite got: newberyites, but expected |?
novgorodovaite got: novgorodovaites, but expected |?
nuffieldite got: nuffieldites, but expected |?
nukundamite got: nukundamites, but expected |?
oboyerite got: oboyerites, but expected |?
nullaginite got: nullaginites, but expected |?
ogdensburgite got: ogdensburgites, but expected |?
olekminskite got: olekminskites, but expected |?
olgite got: olgites, but expected |?
moorhouseite got: moorhouseites, but expected |?
niahite got: niahites, but expected |?
rastsvetaevite got: rastsvetaevites, but expected |?
argentojarosite got: argentojarosites, but expected |?
ankinovichite got: ankinovichites, but expected |?
aristarainite got: aristarainites, but expected |?
arsenosulvanite got: arsenosulvanites, but expected |?
arrojadite got: arrojadites, but expected |?
armstrongite got: armstrongites, but expected |?
benjaminite got: benjaminites, but expected |?
arhbarite got: arhbarites, but expected |?
bideauxite got: bideauxites, but expected |?
borishanskiite got: borishanskiites, but expected |?
bobjonesite got: bobjonesites, but expected |?
bobkingite got: bobkingites, but expected |?
billingsleyite got: billingsleyites, but expected |?
awaruite got: awaruites, but expected |?
bafertisite got: bafertisites, but expected |?
babkinite got: babkinites, but expected |?
bogdanovite got: bogdanovites, but expected |?
bahianite got: bahianites, but expected |?
dellaventuraite got: dellaventuraites, but expected |?
dellaite got: dellaites, but expected |?
chlormagaluminite got: chlormagaluminites, but expected |?
cheremnykhite got: cheremnykhites, but expected |?
chessexite got: chessexites, but expected |?
cobaltkoritnigite got: cobaltkoritnigites, but expected |?
christite got: christites, but expected |?
dickthomssenite got: dickthomssenites, but expected |?
dorallcharite got: dorallcharites, but expected |?
earlshannonite got: earlshannonites, but expected |?
efremovite got: efremovites, but expected |?
edenite got: edenites, but expected |?
ferrilotharmeyerite got: ferrilotharmeyerites, but expected |?
ferrisicklerite got: ferrisicklerites, but expected |?
duranusite got: duranusites, but expected |?
sulvanite got: sulvanites, but expected |?
dussertite got: dussertites, but expected |?
ecandrewsite got: ecandrewsites, but expected |?
ferrotschermakite got: ferrotschermakites, but expected |?
haapalaite got: haapalaites, but expected |?
glushinskite got: glushinskites, but expected |?
heneuite got: heneuites, but expected |?
hastingsite got: hastingsites, but expected |?
kemmlitzite got: kemmlitzites, but expected |?
hyalotekite got: hyalotekites, but expected |?
janggunite got: janggunites, but expected |?
jarandolite got: jarandolites, but expected |?
kamaishilite got: kamaishilites, but expected |?
kamitugaite got: kamitugaites, but expected |?
jouravskite got: jouravskites, but expected |?
jankovicite got: jankovicites, but expected |?
jennite got: jennites, but expected |?
jagowerite got: jagowerites, but expected |?
isomertieite got: isomertieites, but expected |?
huntite got: huntites, but expected |?
hydroglauberite got: hydroglauberites, but expected |?
jeffreyite got: jeffreyites, but expected |?
jensenite got: jensenites, but expected |?
johnwalkite got: johnwalkites, but expected |?
jokokuite got: jokokuites, but expected |?
jedwabite got: jedwabites, but expected |?
jagoite got: jagoites, but expected |?
jaipurite got: jaipurites, but expected |?
jalpaite got: jalpaites, but expected |?
janhaugite got: janhaugites, but expected |?
jamesite got: jamesites, but expected |?
joliotite got: joliotites, but expected |?
keldyshite got: keldyshites, but expected |?
juanitaite got: juanitaites, but expected |?
juanite got: juanites, but expected |?
jungite got: jungites, but expected |?
jamborite got: jamborites, but expected |?
jentschite got: jentschites, but expected |?
jervisite got: jervisites, but expected |?
junitoite got: junitoites, but expected |?
junoite got: junoites, but expected |?
juabite got: juabites, but expected |?
manganlotharmeyerite got: manganlotharmeyerites, but expected |?
lithiowodginite got: lithiowodginites, but expected |?
lunijianlaite got: lunijianlaites, but expected |?
lulzacite got: lulzacites, but expected |?
luzonite got: luzonites, but expected |?
litvinskite got: litvinskites, but expected |?
likasite got: likasites, but expected |?
lisetite got: lisetites, but expected |?
lomonosovite got: lomonosovites, but expected |?
lonecreekite got: lonecreekites, but expected |?
londonite got: londonites, but expected |?
mazzettiite got: mazzettiites, but expected |?
lotharmeyerite got: lotharmeyerites, but expected |?
liveingite got: liveingites, but expected |?
majakite got: majakites, but expected |?
makarochkinite got: makarochkinites, but expected |?
maxwellite got: maxwellites, but expected |?
lisitsynite got: lisitsynites, but expected |?
lovdarite got: lovdarites, but expected |?
mendozavilite got: mendozavilites, but expected |?
oxammite got: oxammites, but expected |?
ovamboite got: ovamboites, but expected |?
orlandiite got: orlandiites, but expected |?
orlymanite got: orlymanites, but expected |?
omeiite got: omeiites, but expected |?
orickite got: orickites, but expected |?
orschallite got: orschallites, but expected |?
nekoite got: nekoites, but expected |?
oswaldpeetersite got: oswaldpeetersites, but expected |?
otjisumeite got: otjisumeites, but expected |?
ourayite got: ourayites, but expected |?
oursinite got: oursinites, but expected |?
owensite got: owensites, but expected |?
owyheeite got: owyheeites, but expected |?
oyelite got: oyelites, but expected |?
obradovicite got: obradovicites, but expected |?
odintsovite got: odintsovites, but expected |?
olenite got: olenites, but expected |?
odinite got: odinites, but expected |?
olkhonskite got: olkhonskites, but expected |?
onoratoite got: onoratoites, but expected |?
oneillite got: oneillites, but expected |?
oosterboschite got: oosterboschites, but expected |?
ominelite got: ominelites, but expected |?
olympite got: olympites, but expected |?
orpheite got: orpheites, but expected |?
orientite got: orientites, but expected |?
orcelite got: orcelites, but expected |?
olshanskyite got: olshanskyites, but expected |?
orthowalpurgite got: orthowalpurgites, but expected |?
ottemannite got: ottemannites, but expected |?
osbornite got: osbornites, but expected |?
olsacherite got: olsacherites, but expected |?
olmsteadite got: olmsteadites, but expected |?
orthoserpierite got: orthoserpierites, but expected |?
orthochamosite got: orthochamosites, but expected |?
orthoericssonite got: orthoericssonites, but expected |?
orthopinakiolite got: orthopinakiolites, but expected |?
orthobrannerite got: orthobrannerites, but expected |?
ilesite got: ilesites, but expected |?
incaite got: incaites, but expected |?
ingersonite got: ingersonites, but expected |?
insizwaite got: insizwaites, but expected |?
iranite got: iranites, but expected |?
irarsite got: irarsites, but expected |?
irhtemite got: irhtemites, but expected |?
iriginite got: iriginites, but expected |?
indialite got: indialites, but expected |?
inaglyite got: inaglyites, but expected |?
ingodite got: ingodites, but expected |?
indigirite got: indigirites, but expected |?
imiterite got: imiterites, but expected |?
inderite got: inderites, but expected |?
inderborite got: inderborites, but expected |?
imhofite got: imhofites, but expected |?
earlandite got: earlandites, but expected |?
eakerite got: eakerites, but expected |?
eastonite got: eastonites, but expected |?
eckermannite got: eckermannites, but expected |?
ecdemite got: ecdemites, but expected |?
eugsterite got: eugsterites, but expected |?
eskolaite got: eskolaites, but expected |?
eudidymite got: eudidymites, but expected |?
eugenite got: eugenites, but expected |?
eucairite got: eucairites, but expected |?
epistilbite got: epistilbites, but expected |?
epididymite got: epididymites, but expected |?
ephesite got: ephesites, but expected |?
elyite got: elyites, but expected |?
ellisite got: ellisites, but expected |?
epistolite got: epistolites, but expected |?
ercitite got: ercitites, but expected |?
